delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-13.8,3.2,-1.20539,0.01518,-0.0531,6.8867
0,-13.6,0.2,-0.892795,0.03951,-0.0698,-1.15222
0,-13.6,0.4,-0.991275,0.03032,-0.0651,0.252167
0,-13.6,0.6,-1.06893,0.02571,-0.0603,1.54307
0,-13.6,0.8,-1.11624,0.02303,-0.0561,2.72509
0,-13.6,1,-1.14604,0.02133,-0.0526,3.74426
0,-13.6,1.2,-1.16437,0.02007,-0.0494,4.56694
0,-13.6,1.4,-1.1752,0.01904,-0.0493,5.19384
0,-13.6,1.6,-1.17984,0.01823,-0.0504,5.76962
0,-13.6,1.8,-1.18711,0.01759,-0.0514,6.18934
0,-13.6,2,-1.1859,0.01703,-0.0521,6.51625
0,-13.6,2.2,-1.18632,0.01651,-0.0523,6.83711
0,-13.6,2.4,-1.18629,0.01607,-0.0524,7.04427
0,-13.6,2.6,-1.18465,0.01569,-0.0525,7.19376
0,-13.6,3.2,-1.18032,0.01482,-0.0529,7.44696
0,-13.4,0.2,-0.89758,0.03833,-0.0685,-1.54735
0,-13.4,0.4,-0.990434,0.02945,-0.0636,0.252625
0,-13.4,0.6,-1.06288,0.02502,-0.0585,1.92439
0,-13.4,0.8,-1.10572,0.02249,-0.0541,3.29275
0,-13.4,1,-1.13177,0.02082,-0.0503,4.4146
0,-13.4,1.2,-1.14716,0.01962,-0.0484,5.26816
0,-13.4,1.4,-1.1558,0.01857,-0.0497,5.89259
0,-13.4,1.6,-1.15853,0.01777,-0.0508,6.41374
0,-13.4,1.8,-1.16338,0.01715,-0.0514,6.74034
0,-13.4,2,-1.16212,0.01663,-0.052,7.07561
0,-13.4,2.2,-1.16149,0.01614,-0.0521,7.36182
0,-13.4,2.4,-1.16078,0.01571,-0.0523,7.53735
0,-13.4,2.6,-1.1587,0.01534,-0.0524,7.64749
0,-13.4,3.2,-1.15361,0.01448,-0.053,7.8273
0,-13.2,0.2,-0.90333,0.03738,-0.0672,-1.71209
0,-13.2,0.4,-0.989367,0.02866,-0.0621,0.376985
0,-13.2,0.6,-1.05548,0.02439,-0.0566,2.31334
0,-13.2,0.8,-1.09333,0.02198,-0.052,3.79611
0,-13.2,1,-1.11536,0.02036,-0.0478,4.97016
0,-13.2,1.2,-1.12776,0.01915,-0.0489,5.8256
0,-13.2,1.4,-1.13425,0.01812,-0.0502,6.43101
0,-13.2,1.6,-1.13526,0.01733,-0.0511,6.8941
0,-13.2,1.8,-1.13965,0.01671,-0.0514,7.29133
0,-13.2,2,-1.13669,0.01621,-0.0518,7.47092
0,-13.2,2.2,-1.13512,0.01578,-0.0521,7.72155
0,-13.2,2.4,-1.13386,0.01536,-0.0523,7.86617
0,-13.2,2.6,-1.13145,0.015,-0.0525,7.9415
0,-13.2,3.2,-1.12585,0.01416,-0.0526,8.0555
0,-13,0.2,-0.90931,0.03649,-0.0658,-1.68538
