delta_d,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-14,2.4,-1.05035,0.017842,-0.08312,3.35714
0,-14,2.5,-1.05367,0.01762,-0.0828,3.38386
0,-14,2.6,-1.05617,0.01746,-0.08256,3.39541
0,-14,2.7,-1.05867,0.0173,-0.08232,3.40696
0,-14,2.8,-1.06117,0.01714,-0.08208,3.41851
0,-14,2.9,-1.06367,0.01698,-0.08184,3.43007
0,-14,3,-1.06617,0.01682,-0.0816,3.44162
0,-14,3.1,-1.06815,0.016702,-0.0814,3.45719
0,-14,3.2,-1.07013,0.016584,-0.0812,3.47277
0,-14,3.3,-1.07212,0.016466,-0.081,3.48834
0,-14,3.4,-1.0741,0.016348,-0.0808,3.50392
0,-14,3.5,-1.07608,0.01623,-0.0806,3.51949
0,-14,3.6,-1.07777,0.016138,-0.08044,3.53286
0,-14,3.7,-1.07946,0.016046,-0.08028,3.54622
0,-14,3.8,-1.08115,0.015954,-0.08012,3.55958
0,-14,3.9,-1.08284,0.015862,-0.07996,3.57294
0,-14,4,-1.08453,0.01577,-0.0798,3.5863
0,-13.5,0.2,-0.818283,0.03861,-0.0916,1.71657
0,-13.5,0.3,-0.836007,0.03338,-0.0916,2.04585
0,-13.5,0.4,-0.859737,0.03015,-0.091,2.11309
0,-13.5,0.5,-0.882614,0.02781,-0.0902,2.24178
0,-13.5,0.6,-0.902765,0.02588,-0.0891,2.34545
0,-13.5,0.7,-0.918518,0.02445,-0.0881,2.46503
0,-13.5,0.8,-0.932254,0.02343,-0.0873,2.58873
0,-13.5,0.9,-0.94396,0.02246,-0.0864,2.67117
0,-13.5,1,-0.953747,0.02168,-0.0856,2.75598
0,-13.5,1.1,-0.961509,0.021116,-0.085,2.82944
0,-13.5,1.2,-0.969271,0.020552,-0.0844,2.9029
0,-13.5,1.3,-0.9761,0.020058,-0.08384,2.9646
0,-13.5,1.4,-0.981996,0.019634,-0.08332,3.01454
0,-13.5,1.5,-0.987891,0.01921,-0.0828,3.06449
0,-13.5,1.6,-0.992499,0.018882,-0.08236,3.10135
0,-13.5,1.7,-0.997108,0.018554,-0.08192,3.13821
0,-13.5,1.8,-1.00129,0.018264,-0.08152,3.17475
0,-13.5,1.9,-1.00506,0.018012,-0.08116,3.21099
0,-13.5,2,-1.00882,0.01776,-0.0808,3.24722
0,-13.5,2.1,-1.0119,0.017572,-0.0805,3.27552
0,-13.5,2.2,-1.01497,0.017384,-0.0802,3.30381
0,-13.5,2.3,-1.01804,0.017196,-0.0799,3.3321
0,-13.5,2.4,-1.02111,0.017008,-0.0796,3.36039
0,-13.5,2.5,-1.02418,0.01682,-0.0793,3.38869
0,-13.5,2.6,-1.02656,0.016668,-0.07904,3.40549
0,-13.5,2.7,-1.02893,0.016516,-0.07878,3.4223
0,-13.5,2.8,-1.0313,0.016364,-0.07852,3.4391
0,-13.5,2.9,-1.03367,0.016212,-0.07826,3.45591
0,-13.5,3,-1.03604,0.01606,-0.078,3.47272
0,-13.5,3.1,-1.03789,0.015946,-0.07778,3.48768
0,-13.5,3.2,-1.03974,0.015832,-0.07756,3.50264
0,-13.5,3.3,-1.04159,0.015718,-0.07734,3.5176
0,-13.5,3.4,-1.04344,0.015604,-0.07712,3.53257
0,-13.5,3.5,-1.04529,0.01549,-0.0769,3.54753
0,-13.5,3.6,-1.04686,0.015402,-0.07672,3.56013
0,-13.5,3.7,-1.04844,0.015314,-0.07654,3.57273
0,-13.5,3.8,-1.05001,0.015226,-0.07636,3.58533
0,-13.5,3.9,-1.05158,0.015138,-0.07618,3.59793
0,-13.5,4,-1.05316,0.01505,-0.076,3.61054
0,-13,0.2,-0.800945,0.03626,-0.0892,2.2323
0,-13,0.3,-0.816858,0.03132,-0.0891,2.33661
0,-13,0.4,-0.840251,0.0283,-0.0883,2.35505
0,-13,0.5,-0.862185,0.026,-0.0871,2.4479
0,-13,0.6,-0.881418,0.02439,-0.086,2.5554
0,-13,0.7,-0.896287,0.02305,-0.0848,2.64225
0,-13,0.8,-0.909055,0.02205,-0.0839,2.74241
0,-13,0.9,-0.920038,0.02129,-0.0832,2.82518
0,-13,1,-0.929125,0.02056,-0.0823,2.90086
0,-13,1.1,-0.9363,0.02002,-0.08162,2.96245
0,-13,1.2,-0.943474,0.01948,-0.08094,3.02403
0,-13,1.3,-0.949795,0.019034,-0.08036,3.07872
0,-13,1.4,-0.955261,0.018682,-0.07988,3.12652
0,-13,1.5,-0.960727,0.01833,-0.0794,3.17431
0,-13,1.6,-0.965021,0.018014,-0.07892,3.20905
0,-13,1.7,-0.969315,0.017698,-0.07844,3.24379
0,-13,1.8,-0.973199,0.01742,-0.078,3.27642
0,-13,1.9,-0.976671,0.01718,-0.0776,3.30694
0,-13,2,-0.980144,0.01694,-0.0772,3.33747
0,-13,2.1,-0.982977,0.016766,-0.0769,3.3636
0,-13,2.2,-0.98581,0.016592,-0.0766,3.38974
0,-13,2.3,-0.988643,0.016418,-0.0763,3.41588
0,-13,2.4,-0.991476,0.016244,-0.076,3.44202
0,-13,2.5,-0.994309,0.01607,-0.0757,3.46815
0,-13,2.6,-0.996527,0.015936,-0.07544,3.48597
0,-13,2.7,-0.998746,0.015802,-0.07518,3.50378
0,-13,2.8,-1.00096,0.015668,-0.07492,3.5216
0,-13,2.9,-1.00318,0.015534,-0.07466,3.53941
0,-13,3,-1.0054,0.0154,-0.0744,3.55723
0,-13,3.1,-1.00713,0.01529,-0.07416,3.57023
0,-13,3.2,-1.00885,0.01518,-0.07392,3.58323
0,-13,3.3,-1.01058,0.01507,-0.07368,3.59624
0,-13,3.4,-1.01231,0.01496,-0.07344,3.60924
0,-13,3.5,-1.01403,0.01485,-0.0732,3.62224
0,-13,3.6,-1.0155,0.014762,-0.07302,3.63311
0,-13,3.7,-1.01697,0.014674,-0.07284,3.64397
0,-13,3.8,-1.01845,0.014586,-0.07266,3.65484
0,-13,3.9,-1.01992,0.014498,-0.07248,3.6657
0,-13,4,-1.02139,0.01441,-0.0723,3.67657
0,-12.5,0.2,-0.779712,0.034,-0.0864,2.61362
0,-12.5,0.3,-0.79534,0.02947,-0.0864,2.58825
0,-12.5,0.4,-0.818631,0.02661,-0.0853,2.59838
0,-12.5,0.5,-0.839811,0.02454,-0.084,2.68157
0,-12.5,0.6,-0.858076,0.02303,-0.0827,2.79648
0,-12.5,0.7,-0.872256,0.02186,-0.0816,2.87004
0,-12.5,0.8,-0.884216,0.02089,-0.0804,2.95656
0,-12.5,0.9,-0.894482,0.02015,-0.0795,3.03797
0,-12.5,1,-0.902946,0.01959,-0.0789,3.10531
0,-12.5,1.1,-0.909627,0.019082,-0.07814,3.15717
0,-12.5,1.2,-0.916308,0.018574,-0.07738,3.20902
0,-12.5,1.3,-0.922183,0.018144,-0.07674,3.25658
0,-12.5,1.4,-0.927251,0.017792,-0.07622,3.29983
0,-12.5,1.5,-0.932319,0.01744,-0.0757,3.34309
0,-12.5,1.6,-0.936326,0.017188,-0.0753,3.37385
0,-12.5,1.7,-0.940334,0.016936,-0.0749,3.40462
0,-12.5,1.8,-0.943953,0.016692,-0.07448,3.43242
0,-12.5,1.9,-0.947185,0.016456,-0.07404,3.45726
0,-12.5,2,-0.950416,0.01622,-0.0736,3.4821
0,-12.5,2.1,-0.953037,0.01605,-0.07328,3.50442
0,-12.5,2.2,-0.955658,0.01588,-0.07296,3.52675
0,-12.5,2.3,-0.958279,0.01571,-0.07264,3.54907
0,-12.5,2.4,-0.9609,0.01554,-0.07232,3.57139
0,-12.5,2.5,-0.96352,0.01537,-0.072,3.59372
0,-12.5,2.6,-0.965588,0.015252,-0.07176,3.61025
0,-12.5,2.7,-0.967655,0.015134,-0.07152,3.62678
0,-12.5,2.8,-0.969723,0.015016,-0.07128,3.64331
0,-12.5,2.9,-0.97179,0.014898,-0.07104,3.65984
0,-12.5,3,-0.973858,0.01478,-0.0708,3.67637
0,-12.5,3.1,-0.97548,0.01468,-0.07058,3.68704
0,-12.5,3.2,-0.977103,0.01458,-0.07036,3.69771
0,-12.5,3.3,-0.978726,0.01448,-0.07014,3.70838
0,-12.5,3.4,-0.980349,0.01438,-0.06992,3.71905
0,-12.5,3.5,-0.981972,0.01428,-0.0697,3.72972
0,-12.5,3.6,-0.983357,0.014196,-0.0695,3.73862
0,-12.5,3.7,-0.984742,0.014112,-0.0693,3.74752
0,-12.5,3.8,-0.986128,0.014028,-0.0691,3.75643
0,-12.5,3.9,-0.987513,0.013944,-0.0689,3.76533
0,-12.5,4,-0.988898,0.01386,-0.0687,3.77424
0,-12,0.2,-0.755644,0.03206,-0.0836,2.88654
0,-12,0.3,-0.771802,0.02779,-0.0834,2.79973
0,-12,0.4,-0.794947,0.02507,-0.082,2.82587
0,-12,0.5,-0.815384,0.02325,-0.0807,2.91514
0,-12,0.6,-0.83261,0.02181,-0.0792,3.03832
0,-12,0.7,-0.846159,0.0208,-0.0781,3.11075
0,-12,0.8,-0.857397,0.01992,-0.077,3.19054
0,-12,0.9,-0.866962,0.0192,-0.076,3.26974
0,-12,1,-0.874869,0.01862,-0.0751,3.33029
