delta_d,delta_f,alpha,Re,Cl,Cd,Cm,Cl_alpha
0.0,0.0,-13.0,2.5,-0.994405,0.01607,-0.0757,3.467
0.0,0.0,-13.0,3.0,-1.00542,0.0154,-0.0744,3.5538
0.0,0.0,-13.0,3.5,-1.01404,0.01485,-0.0732,3.6255
0.0,0.0,-13.0,4.0,-1.02139,0.01441,-0.0723,3.67657
0.0,0.0,-12.5,0.2,-0.779732,0.034,-0.0864,2.60835
0.0,0.0,-12.5,0.3,-0.795345,0.02947,-0.0864,2.58485
0.0,0.0,-12.5,0.4,-0.818631,0.02661,-0.0853,2.59838
0.0,0.0,-12.5,0.5,-0.839822,0.02454,-0.084,2.68173
0.0,0.0,-12.5,0.6,-0.858076,0.02303,-0.0827,2.79648
0.0,0.0,-12.5,0.7,-0.872256,0.02186,-0.0816,2.87004
0.0,0.0,-12.5,0.8,-0.884228,0.02089,-0.0804,2.95583
0.0,0.0,-12.5,0.9,-0.8945,0.02015,-0.0795,3.04889
0.0,0.0,-12.5,1.0,-0.902946,0.01959,-0.0789,3.10531
0.0,0.0,-12.5,1.25,-0.919649,0.01832,-0.077,3.23495
0.0,0.0,-12.5,1.5,-0.932319,0.01744,-0.0757,3.34309
0.0,0.0,-12.5,1.75,-0.942337,0.01681,-0.0747,3.42
0.0,0.0,-12.5,2.0,-0.950416,0.01622,-0.0736,3.4821
0.0,0.0,-12.5,2.5,-0.963613,0.01537,-0.072,3.5957
0.0,0.0,-12.5,3.0,-0.973897,0.01478,-0.0708,3.67434
0.0,0.0,-12.5,3.5,-0.98195,0.01428,-0.0697,3.73229
0.0,0.0,-12.5,4.0,-0.988898,0.01386,-0.0687,3.77424
0.0,0.0,-12.0,0.2,-0.755701,0.03206,-0.0836,2.88313
0.0,0.0,-12.0,0.3,-0.771837,0.02779,-0.0834,2.79641
0.0,0.0,-12.0,0.4,-0.794947,0.02507,-0.082,2.82587
0.0,0.0,-12.0,0.5,-0.815392,0.02325,-0.0807,2.9156
0.0,0.0,-12.0,0.6,-0.83261,0.02181,-0.0792,3.03832
0.0,0.0,-12.0,0.7,-0.846159,0.0208,-0.0781,3.11075
0.0,0.0,-12.0,0.8,-0.857413,0.01992,-0.077,3.19037
0.0,0.0,-12.0,0.9,-0.866889,0.0192,-0.076,3.27945
0.0,0.0,-12.0,1.0,-0.874869,0.01862,-0.0751,3.33029
0.0,0.0,-12.0,1.25,-0.890524,0.01754,-0.0735,3.44182
0.0,0.0,-12.0,1.5,-0.902307,0.01669,-0.072,3.53706
0.0,0.0,-12.0,1.75,-0.911702,0.01607,-0.0709,3.60328
0.0,0.0,-12.0,2.0,-0.919294,0.0156,-0.0701,3.65332
0.0,0.0,-12.0,2.5,-0.931577,0.01477,-0.0683,3.74911
0.0,0.0,-12.0,3.0,-0.941227,0.01419,-0.067,3.81569
0.0,0.0,-12.0,3.5,-0.948834,0.01375,-0.0661,3.86023
0.0,0.0,-12.0,4.0,-0.95545,0.01338,-0.0651,3.89481
0.0,0.0,-11.5,0.2,-0.729655,0.03042,-0.0806,3.0741
0.0,0.0,-11.5,0.3,-0.746646,0.02633,-0.0802,2.97115
0.0,0.0,-11.5,0.4,-0.769382,0.0238,-0.0787,3.02872
0.0,0.0,-11.5,0.5,-0.788985,0.02205,-0.0771,3.13283
0.0,0.0,-11.5,0.6,-0.805099,0.02077,-0.0757,3.26268
0.0,0.0,-11.5,0.7,-0.817996,0.01977,-0.0744,3.34074
0.0,0.0,-11.5,0.8,-0.828565,0.01904,-0.0734,3.4187
0.0,0.0,-11.5,0.9,-0.837287,0.01838,-0.0724,3.50206
0.0,0.0,-11.5,1.0,-0.844836,0.01782,-0.0715,3.55065
0.0,0.0,-11.5,1.25,-0.859574,0.01681,-0.0698,3.65028
0.0,0.0,-11.5,1.5,-0.870578,0.01605,-0.0685,3.73382
0.0,0.0,-11.5,1.75,-0.879436,0.01544,-0.0673,3.79092
0.0,0.0,-11.5,2.0,-0.886632,0.01497,-0.0663,3.83214
0.0,0.0,-11.5,2.5,-0.898151,0.01425,-0.0648,3.91215
0.0,0.0,-11.5,3.0,-0.907272,0.01367,-0.0634,3.96701
0.0,0.0,-11.5,3.5,-0.914539,0.01323,-0.0624,4.00107
0.0,0.0,-11.5,4.0,-0.920876,0.01289,-0.0615,4.03088
0.0,0.0,-11.0,0.2,-0.702229,0.02887,-0.0775,3.20287
