alpha,Re,Cl,Cd,Cm,Cl_alpha
-11.8,2.5,-1.14115,0.01425,-0.0183,5.82189
-11.6,0.2,-0.748636,0.06029,-0.0501,-8.37858
-11.6,0.25,-0.857799,0.04771,-0.0474,-5.971
-11.6,0.35,-0.988178,0.03371,-0.0384,-1.60231
-11.6,0.45,-1.02322,0.02834,-0.0367,1.69314
-11.6,0.55,-1.03587,0.025,-0.0349,2.07164
-11.6,0.65,-1.05091,0.02317,-0.0329,2.64511
-11.6,0.8,-1.06915,0.02084,-0.0292,3.12874
-11.6,0.92,-1.0797,0.01947,-0.0264,3.5227
-11.6,0.95,-1.08203,0.01922,-0.0259,3.62173
-11.6,1,-1.08532,0.01892,-0.0252,3.7958
-11.6,1.2,-1.09714,0.01782,-0.0223,4.43904
-11.6,1.5,-1.10872,0.01635,-0.018,4.99545
-11.6,1.75,-1.11283,0.01548,-0.0159,5.29156
-11.6,2,-1.11559,0.01477,-0.017,5.54962
-11.6,2.2,-1.11769,0.01435,-0.0177,5.70813
-11.6,2.5,-1.12073,0.01392,-0.0188,5.87203
-11.4,0.2,-0.776179,0.05663,-0.0493,-7.3942
-11.4,0.25,-0.876743,0.04489,-0.0438,-4.88312
-11.4,0.35,-0.991967,0.03243,-0.0361,-0.57967
-11.4,0.45,-1.01642,0.02766,-0.0347,2.20241
-11.4,0.55,-1.02785,0.02423,-0.0328,2.52274
-11.4,0.65,-1.04097,0.02266,-0.0309,3.04924
-11.4,0.8,-1.05757,0.02043,-0.0274,3.50387
-11.4,0.92,-1.06682,0.01909,-0.0245,3.86045
-11.4,0.95,-1.06881,0.01883,-0.0239,3.95031
-11.4,1,-1.07153,0.01848,-0.023,4.1044
-11.4,1.2,-1.08122,0.01752,-0.0204,4.68339
-11.4,1.5,-1.09096,0.01609,-0.0159,5.18096
-11.4,1.75,-1.09412,0.01515,-0.0165,5.43006
-11.4,2,-1.09605,0.01445,-0.0176,5.64498
-11.4,2.2,-1.09764,0.01401,-0.0183,5.77683
-11.4,2.5,-1.10016,0.01353,-0.0191,5.91195
-11.2,0.2,-0.800216,0.05343,-0.0469,-6.3742
-11.2,0.25,-0.891901,0.04217,-0.0398,-3.80484
-11.2,0.35,-0.992304,0.03109,-0.0342,0.374847
-11.2,0.45,-1.00786,0.02696,-0.033,2.69572
-11.2,0.55,-1.01826,0.02364,-0.0309,2.96909
-11.2,0.65,-1.02963,0.02217,-0.0292,3.44802
-11.2,0.8,-1.04469,0.02004,-0.0255,3.87239
-11.2,0.92,-1.05276,0.01875,-0.0226,4.19134
-11.2,0.95,-1.05446,0.01849,-0.0219,4.27187
-11.2,1,-1.05668,0.01811,-0.0209,4.40586
-11.2,1.2,-1.06446,0.01725,-0.0184,4.91816
-11.2,1.5,-1.07256,0.01576,-0.0159,5.3549
-11.2,1.75,-1.07494,0.01483,-0.0172,5.55809
-11.2,2,-1.07619,0.01414,-0.0181,5.73071
-11.2,2.2,-1.07737,0.0137,-0.0187,5.83645
-11.2,2.5,-1.07947,0.0132,-0.0195,5.94361
-11,0.2,-0.82066,0.05071,-0.0434,-5.338
-11,0.25,-0.903333,0.0397,-0.036,-2.74979
-11,0.35,-0.989431,0.03019,-0.0326,1.2592
-11,0.45,-0.997623,0.02627,-0.0312,3.16786
-11,0.55,-1.00714,0.02314,-0.0291,3.40382
-11,0.65,-1.01691,0.02173,-0.0273,3.83544
-11,0.8,-1.03055,0.01965,-0.0235,4.22893
-11,0.92,-1.03757,0.01843,-0.0206,4.51071
-11,0.95,-1.039,0.01817,-0.0199,4.58192
-11,1,-1.04079,0.01778,-0.0188,4.69613
-11,1.2,-1.0469,0.01699,-0.0162,5.14101
-11,1.5,-1.05359,0.01543,-0.0165,5.5165
-11,1.75,-1.05533,0.01452,-0.0178,5.67564
-11,2,-1.05605,0.01384,-0.0186,5.80756
-11,2.2,-1.05691,0.01341,-0.0193,5.8882
-11,2.5,-1.05868,0.01289,-0.0201,5.96869
-10.8,0.2,-0.837483,0.0478,-0.0398,-4.30222
-10.8,0.25,-0.911139,0.03833,-0.0345,-1.72927
-10.8,0.35,-0.983596,0.02957,-0.031,2.07234
-10.8,0.45,-0.985778,0.02562,-0.0294,3.61465
-10.8,0.55,-0.994519,0.02269,-0.0272,3.82129
-10.8,0.65,-1.00287,0.0213,-0.0253,4.20658
-10.8,0.8,-1.01519,0.01929,-0.0214,4.56911
-10.8,0.92,-1.02129,0.01812,-0.0184,4.81477
-10.8,0.95,-1.02249,0.01787,-0.0177,4.87683
-10.8,1,-1.02391,0.01748,-0.0166,4.97192
-10.8,1.2,-1.02858,0.01644,-0.015,5.3501
-10.8,1.5,-1.03407,0.01511,-0.0173,5.66525
-10.8,1.75,-1.03532,0.01422,-0.0183,5.78279
-10.8,2,-1.03566,0.01355,-0.0193,5.87623
-10.8,2.2,-1.03627,0.01313,-0.0199,5.93316
-10.8,2.5,-1.03781,0.01262,-0.0206,5.98863
-10.6,0.2,-0.850712,0.04497,-0.036,-3.28093
-10.6,0.25,-0.915456,0.03748,-0.0329,-0.752443
-10.6,0.35,-0.975047,0.02903,-0.0293,2.81412
-10.6,0.45,-0.972422,0.02501,-0.0274,4.03285
-10.6,0.55,-0.980483,0.02228,-0.0252,4.21695
-10.6,0.65,-0.987568,0.02054,-0.0227,4.55749
-10.6,0.8,-0.998672,0.01894,-0.0192,4.88944
-10.6,0.92,-1.00398,0.01782,-0.0163,5.10052
-10.6,0.95,-1.00498,0.01758,-0.0156,5.15372
-10.6,1,-1.0061,0.01721,-0.0144,5.23063
-10.6,1.2,-1.00957,0.01594,-0.0156,5.54402
-10.6,1.5,-1.01405,0.0148,-0.0179,5.80083
-10.6,1.75,-1.01497,0.01393,-0.019,5.87969
-10.6,2,-1.01504,0.01327,-0.02,5.93736
-10.6,2.2,-1.01549,0.01286,-0.0205,5.97226
-10.6,2.5,-1.01687,0.01237,-0.0207,6.00466
-10.4,0.2,-0.860419,0.04288,-0.0335,-2.28586
-10.4,0.25,-0.916451,0.0367,-0.0312,0.173416
-10.4,0.35,-0.964032,0.02847,-0.0274,3.48518
-10.4,0.45,-0.957659,0.02445,-0.0254,4.42007
-10.4,0.55,-0.965109,0.02189,-0.0233,4.58725
-10.4,0.65,-0.971081,0.02005,-0.0204,4.8851
-10.4,0.8,-0.981078,0.01861,-0.017,5.18724
-10.4,0.92,-0.985704,0.01753,-0.014,5.36562
-10.4,0.95,-0.986531,0.01728,-0.0138,5.41036
-10.4,1,-0.987413,0.01686,-0.0144,5.47028
-10.4,1.2,-0.989899,0.01554,-0.0163,5.72176
-10.4,1.5,-0.993586,0.01451,-0.0186,5.92311
-10.4,1.75,-0.994288,0.01365,-0.0198,5.96658
-10.4,2,-0.994217,0.01301,-0.0205,5.99153
-10.4,2.2,-0.994584,0.0126,-0.0208,6.00631
-10.4,2.5,-0.995889,0.01212,-0.0211,6.01779
-10.2,0.2,-0.866712,0.04153,-0.0317,-1.32666
-10.2,0.25,-0.914311,0.03596,-0.0294,1.04275
-10.2,0.35,-0.950796,0.02786,-0.0255,4.08682
-10.2,0.45,-0.941602,0.02394,-0.0234,4.77468
-10.2,0.55,-0.94849,0.0215,-0.0212,4.92953
-10.2,0.65,-0.953494,0.01968,-0.0182,5.18713
-10.2,0.8,-0.962487,0.01829,-0.0148,5.46051
-10.2,0.92,-0.966544,0.01715,-0.0143,5.6084
-10.2,0.95,-0.967229,0.01689,-0.0147,5.64516
-10.2,1,-0.96793,0.01648,-0.0153,5.68942
-10.2,1.2,-0.96964,0.0152,-0.017,5.88266
-10.2,1.5,-0.972716,0.01409,-0.0192,6.03212
-10.2,1.75,-0.973324,0.01338,-0.0204,6.04374
-10.2,2,-0.973218,0.01276,-0.0209,6.03929
-10.2,2.2,-0.973565,0.01236,-0.0212,6.03601
-10.2,2.5,-0.974863,0.01189,-0.0209,6.02888
-10,0.2,-0.869732,0.04047,-0.03,-0.41106
-10,0.25,-0.909242,0.03502,-0.0274,1.85152
-10,0.35,-0.935579,0.02721,-0.0235,4.62092
-10,0.45,-0.924365,0.02333,-0.0214,5.09572
-10,0.55,-0.930729,0.02112,-0.0191,5.24192
-10,0.65,-0.934899,0.01937,-0.016,5.46197
-10,0.8,-0.942987,0.01798,-0.0134,5.70792
-10,0.92,-0.946578,0.01676,-0.0152,5.82773
-10,0.95,-0.947147,0.01651,-0.0155,5.85703
-10,1,-0.947719,0.01612,-0.0161,5.88712
-10,1.2,-0.94885,0.01487,-0.0178,6.02637
-10,1.5,-0.951489,0.01369,-0.0198,6.12805
-10,1.75,-0.952106,0.01313,-0.0209,6.11149
-10,2,-0.952062,0.01251,-0.0214,6.08114
-10,2.2,-0.952449,0.01213,-0.0212,6.06197
-10,2.5,-0.953801,0.01168,-0.0209,6.0386
-9.8,0.2,-0.86964,0.03933,-0.0281,0.454875
-9.8,0.25,-0.901459,0.03387,-0.0252,2.59704
-9.8,0.35,-0.918612,0.0265,-0.0215,5.08986
-9.8,0.45,-0.906066,0.02258,-0.0193,5.3828
-9.8,0.55,-0.911931,0.02074,-0.0169,5.52322
-9.8,0.65,-0.915395,0.01908,-0.0138,5.70864
-9.8,0.8,-0.922669,0.01747,-0.0143,5.92867
-9.8,0.92,-0.925887,0.0164,-0.016,6.02295
-9.8,0.95,-0.926367,0.01615,-0.0163,6.0454
-9.8,1,-0.926856,0.01577,-0.0169,6.06283
-9.8,1.2,-0.927588,0.01456,-0.0187,6.15279
-9.8,1.5,-0.929949,0.01336,-0.0204,6.2112
-9.8,1.75,-0.930668,0.01278,-0.0213,6.17023
-9.8,2,-0.93077,0.01229,-0.0214,6.11754
-9.8,2.2,-0.931248,0.01191,-0.0213,6.0847
-9.8,2.5,-0.932706,0.01148,-0.0205,6.04752
-9.6,0.2,-0.866619,0.0381,-0.0259,1.26661
-9.6,0.25,-0.891186,0.03261,-0.0228,3.2778
-9.6,0.35,-0.900118,0.02575,-0.0195,5.49642
-9.6,0.45,-0.886825,0.0221,-0.0172,5.63603
-9.6,0.55,-0.892206,0.02036,-0.0147,5.77289
-9.6,0.65,-0.895079,0.01877,-0.0122,5.92669
-9.6,0.8,-0.901628,0.01686,-0.015,6.12246
-9.6,0.92,-0.904558,0.01609,-0.0169,6.19385
-9.6,0.95,-0.90497,0.01584,-0.0172,6.21006
-9.6,1,-0.905418,0.01545,-0.0178,6.21642
-9.6,1.2,-0.905915,0.01426,-0.0194,6.26208
-9.6,1.5,-0.908141,0.01307,-0.021,6.28196
-9.6,1.75,-0.90904,0.01245,-0.0214,6.22037
-9.6,2,-0.909359,0.01208,-0.0216,6.14892
-9.6,2.2,-0.909973,0.01172,-0.021,6.10463
-9.6,2.5,-0.911582,0.01129,-0.0201,6.05605
-9.4,0.2,-0.860864,0.0368,-0.0236,2.02096
-9.4,0.25,-0.878651,0.03133,-0.0205,3.89334
-9.4,0.35,-0.880309,0.02501,-0.0174,5.84373
-9.4,0.45,-0.866758,0.02169,-0.0151,5.85598
-9.4,0.55,-0.871666,0.02,-0.0125,5.99088
-9.4,0.65,-0.874052,0.01835,-0.0133,6.11616
-9.4,0.8,-0.879958,0.01647,-0.0159,6.2894
-9.4,0.92,-0.882674,0.01557,-0.0177,6.34059
-9.4,0.95,-0.88304,0.01548,-0.0182,6.35119
-9.4,1,-0.883482,0.01516,-0.0187,6.34807
