alpha,Re,Cl,Cd,Cm,Cl_alpha
-15,0.2,-0.404508,0.14541,-0.0127,19.2396
-15,0.25,-0.340501,0.14408,-0.0129,4.51917
-15,0.35,-0.292986,0.14214,-0.0135,-19.3702
-15,0.45,-0.992115,0.06837,-0.0434,3.57523
-15,0.55,-1.13037,0.04751,-0.0518,9.39629
-15,0.65,-1.17514,0.04197,-0.052,8.7665
-15,0.8,-1.21488,0.03594,-0.0509,8.25411
-15,0.92,-1.24546,0.03228,-0.0497,7.6739
-15,0.95,-1.25246,0.03149,-0.0494,7.51654
-15,1,-1.26235,0.03029,-0.0488,7.023
-15,1.2,-1.28705,0.02748,-0.0469,4.73465
-15,1.5,-1.30857,0.02448,-0.0442,2.58906
-15,1.75,-1.33257,0.02257,-0.0419,2.01174
-15,2,-1.34994,0.02122,-0.0399,1.27213
-15,2.2,-1.36117,0.0204,-0.0385,0.823649
-15,2.5,-1.37528,0.01947,-0.0368,0.43152
-14.8,0.2,-0.34975,0.14315,-0.0149,12.3335
-14.8,0.25,-0.332951,0.14234,-0.0135,-0.0366114
-14.8,0.35,-0.360504,0.13732,-0.0173,-19.2627
-14.8,0.45,-0.982777,0.06134,-0.0475,1.84269
-14.8,0.55,-1.10203,0.04517,-0.0522,6.9192
-14.8,0.65,-1.14842,0.03964,-0.0519,6.61603
-14.8,0.8,-1.18952,0.03446,-0.0505,6.33954
-14.8,0.92,-1.22165,0.03112,-0.0491,6.02608
-14.8,0.95,-1.22907,0.03039,-0.0487,5.93562
-14.8,1,-1.24038,0.02927,-0.0481,5.61389
-14.8,1.2,-1.27187,0.02631,-0.0458,3.99397
-14.8,1.5,-1.29976,0.0238,-0.0432,2.46815
-14.8,1.75,-1.32525,0.02196,-0.0407,2.18145
-14.8,2,-1.34467,0.02068,-0.0387,1.74429
-14.8,2.2,-1.35712,0.01989,-0.0373,1.48116
-14.8,2.5,-1.37227,0.01899,-0.0355,1.27389
-14.6,0.2,-0.31709,0.1404,-0.018,6.55679
-14.6,0.25,-0.339726,0.14034,-0.0145,-3.70669
-14.6,0.35,-0.427132,0.13389,-0.0192,-18.8689
-14.6,0.45,-0.978809,0.05594,-0.0502,0.48997
-14.6,0.55,-1.08152,0.04304,-0.0524,4.9038
-14.6,0.65,-1.12848,0.03726,-0.0514,4.87077
-14.6,0.8,-1.17019,0.03307,-0.05,4.79218
-14.6,0.92,-1.20302,0.03003,-0.0484,4.69893
-14.6,0.95,-1.21066,0.02936,-0.048,4.66402
-14.6,1,-1.22284,0.02832,-0.0473,4.48443
-14.6,1.2,-1.25897,0.02535,-0.0447,3.42498
-14.6,1.5,-1.29126,0.02317,-0.0421,2.41818
-14.6,1.75,-1.31732,0.0214,-0.0396,2.36706
-14.6,2,-1.33781,0.02017,-0.0375,2.1765
-14.6,2.2,-1.35091,0.01942,-0.036,2.06443
-14.6,2.5,-1.36651,0.01855,-0.0342,2.00677
-14.4,0.2,-0.302806,0.13823,-0.018,1.78544
-14.4,0.25,-0.357921,0.1373,-0.0174,-6.59679
-14.4,0.35,-0.491956,0.13334,-0.0182,-18.2366
-14.4,0.45,-0.978971,0.0516,-0.0518,-0.531086
-14.4,0.55,-1.06733,0.0411,-0.0523,3.29456
-14.4,0.65,-1.114,0.03541,-0.0509,3.48177
-14.4,0.8,-1.15569,0.0318,-0.0493,3.56729
-14.4,0.92,-1.18852,0.02899,-0.0476,3.65318
-14.4,0.95,-1.1962,0.02837,-0.0471,3.66378
-14.4,1,-1.20879,0.02742,-0.0464,3.60023
-14.4,1.2,-1.24778,0.02453,-0.0435,3.00557
-14.4,1.5,-1.28281,0.02259,-0.0411,2.4286
-14.4,1.75,-1.30872,0.02088,-0.0384,2.56487
-14.4,2,-1.32951,0.0197,-0.0362,2.57199
-14.4,2.2,-1.34279,0.01897,-0.0347,2.58091
-14.4,2.5,-1.35837,0.01813,-0.0328,2.64205
-14.2,0.2,-0.303589,0.13665,-0.0175,-2.09465
-14.2,0.25,-0.384986,0.13376,-0.0202,-8.80355
-14.2,0.35,-0.552633,0.13316,-0.0125,-17.3301
-14.2,0.45,-0.982182,0.048,-0.0526,-1.26431
-14.2,0.55,-1.05811,0.03932,-0.052,2.04081
-14.2,0.65,-1.10381,0.03389,-0.0502,2.40438
-14.2,0.8,-1.14496,0.03062,-0.0485,2.62408
-14.2,0.92,-1.17723,0.02801,-0.0466,2.85305
-14.2,0.95,-1.1848,0.02744,-0.0462,2.90029
-14.2,1,-1.19745,0.02656,-0.0454,2.9299
-14.2,1.2,-1.23783,0.02381,-0.0424,2.71561
-14.2,1.5,-1.27424,0.02205,-0.0399,2.48987
-14.2,1.75,-1.2994,0.0204,-0.0372,2.77155
-14.2,2,-1.31989,0.01926,-0.0349,2.93369
-14.2,2.2,-1.33296,0.01856,-0.0334,3.03742
-14.2,2.5,-1.34817,0.01775,-0.0314,3.19057
-14,0.2,-0.316514,0.13506,-0.0174,-5.18798
-14,0.25,-0.418689,0.13126,-0.0211,-10.4151
-14,0.35,-0.613309,0.13298,-0.0068,-16.4236
-14,0.45,-0.987509,0.04497,-0.0528,-1.74953
-14,0.55,-1.05272,0.03768,-0.0515,1.09639
-14,0.65,-1.0969,0.03259,-0.0494,1.59792
-14,0.8,-1.13708,0.02955,-0.0476,1.92538
-14,0.92,-1.16835,0.0271,-0.0456,2.26594
-14,0.95,-1.17571,0.02657,-0.0451,2.34207
-14,1,-1.18812,0.02575,-0.0443,2.44489
-14,1.2,-1.22869,0.02314,-0.0412,2.53682
-14,1.5,-1.26538,0.02154,-0.0388,2.59333
-14,1.75,-1.28936,0.01995,-0.0359,2.98412
-14,2,-1.30907,0.01885,-0.0336,3.26435
-14,2.2,-1.32164,0.01817,-0.0319,3.44019
-14,2.5,-1.33618,0.01739,-0.0298,3.66223
-13.8,0.2,-0.339004,0.13341,-0.0178,-7.59014
-13.8,0.25,-0.460524,0.122876,-0.02322,-10.7515
-13.8,0.35,-0.664609,0.10894,-0.0208333,-15.233
-13.8,0.45,-0.994149,0.04239,-0.0525,-2.0228
-13.8,0.55,-1.05015,0.03617,-0.0508,0.419365
-13.8,0.65,-1.09239,0.03145,-0.0485,1.02544
-13.8,0.8,-1.13127,0.02857,-0.0466,1.43749
-13.8,0.92,-1.16119,0.02625,-0.0445,1.86229
-13.8,0.95,-1.16825,0.02575,-0.044,1.96052
-13.8,1,-1.1802,0.02499,-0.0432,2.11927
-13.8,1.2,-1.22001,0.02253,-0.0399,2.45264
-13.8,1.5,-1.2561,0.0208,-0.0371,2.73123
-13.8,1.75,-1.27857,0.01953,-0.0346,3.19992
-13.8,2,-1.29714,0.01847,-0.0321,3.56646
-13.8,2.2,-1.309,0.01782,-0.0304,3.79491
-13.8,2.5,-1.32268,0.01706,-0.0283,4.06601
-13.6,0.2,-0.368801,0.13169,-0.0183,-9.38835
-13.6,0.25,-0.502359,0.114492,-0.02534,-11.0879
-13.6,0.35,-0.71591,0.0849,-0.0348667,-14.0423
-13.6,0.45,-1.00142,0.04018,-0.0518,-2.11669
-13.6,0.55,-1.04952,0.03476,-0.0499,-0.0282537
-13.6,0.65,-1.08951,0.03042,-0.0476,0.653478
-13.6,0.8,-1.12684,0.02768,-0.0455,1.12988
-13.6,0.92,-1.15517,0.02546,-0.0434,1.61532
-13.6,0.95,-1.16185,0.02499,-0.0429,1.72979
-13.6,1,-1.17317,0.02427,-0.042,1.9296
-13.6,1.2,-1.21148,0.02196,-0.0387,2.44812
-13.6,1.5,-1.24628,0.02009,-0.0353,2.89659
-13.6,1.75,-1.26702,0.01914,-0.0332,3.41661
-13.6,2,-1.2842,0.01811,-0.0306,3.84234
-13.6,2.2,-1.2952,0.01748,-0.0288,4.10675
-13.6,2.5,-1.30787,0.01673,-0.027,4.41006
-13.4,0.2,-0.403937,0.12988,-0.019,-10.662
-13.4,0.25,-0.544194,0.106108,-0.02746,-11.4244
-13.4,0.35,-0.767211,0.06086,-0.0489,-12.8516
-13.4,0.45,-1.00875,0.03828,-0.0508,-2.06052
-13.4,0.55,-1.05012,0.03345,-0.0489,-0.280784
-13.4,0.65,-1.08763,0.02948,-0.0465,0.451818
-13.4,0.8,-1.12321,0.02687,-0.0444,0.974992
-13.4,0.92,-1.14976,0.02473,-0.0422,1.50088
-13.4,0.95,-1.15602,0.02429,-0.0416,1.62654
-13.4,1,-1.16659,0.02361,-0.0407,1.8547
-13.4,1.2,-1.20284,0.02143,-0.0374,2.50982
-13.4,1.5,-1.23585,0.01952,-0.0335,3.08319
-13.4,1.75,-1.25472,0.01876,-0.0317,3.6321
-13.4,2,-1.27034,0.01778,-0.029,4.0941
-13.4,2.2,-1.28038,0.01716,-0.0274,4.38042
-13.4,2.5,-1.29195,0.01643,-0.0258,4.70176
-13.2,0.2,-0.442709,0.12728,-0.0207,-11.4832
-13.2,0.25,-0.586028,0.097724,-0.02958,-11.7608
-13.2,0.35,-0.809801,0.05429,-0.0516,-11.546
-13.2,0.45,-1.01566,0.03665,-0.0497,-1.88057
-13.2,0.55,-1.05129,0.03224,-0.0477,-0.36913
-13.2,0.65,-1.08619,0.02862,-0.0454,0.393247
-13.2,0.8,-1.11988,0.02602,-0.0432,0.948043
-13.2,0.92,-1.14456,0.02405,-0.0409,1.49725
-13.2,0.95,-1.15037,0.02363,-0.0403,1.62979
-13.2,1,-1.16011,0.02298,-0.0394,1.87556
-13.2,1.2,-1.19389,0.02093,-0.036,2.62566
-13.2,1.5,-1.22474,0.01903,-0.0317,3.2855
-13.2,1.75,-1.24167,0.01841,-0.0301,3.8446
-13.2,2,-1.25564,0.01745,-0.0276,4.32371
-13.2,2.2,-1.26466,0.01685,-0.0262,4.62017
-13.2,2.5,-1.2751,0.01613,-0.0245,4.94777
-13,0.2,-0.483655,0.12204,-0.0248,-11.9173
-13,0.25,-0.627863,0.08934,-0.0317,-12.0973
-13,0.35,-0.847793,0.04975,-0.0522,-10.2202
-13,0.45,-1.02176,0.03488,-0.0482,-1.60034
-13,0.55,-1.05253,0.0311,-0.0465,-0.321024
-13,0.65,-1.08474,0.0278,-0.0442,0.453355
-13,0.8,-1.11646,0.02482,-0.0414,1.02681
-13,0.92,-1.1392,0.02342,-0.0396,1.58496
-13,0.95,-1.14454,0.02302,-0.039,1.72072
-13,1,-1.15341,0.0224,-0.038,1.97511
-13,1.2,-1.18446,0.02046,-0.0345,2.78488
-13,1.5,-1.2129,0.01861,-0.0299,3.49861
-13,1.75,-1.22788,0.01793,-0.0281,4.05253
-13,2,-1.24018,0.01713,-0.0263,4.53295
-13,2.2,-1.24816,0.01654,-0.0249,4.82986
-13,2.5,-1.25745,0.01585,-0.0232,5.15407
-12.8,0.2,-0.525463,0.104795,-0.03015,-11.8856
-12.8,0.25,-0.669237,0.07895,-0.0393,-11.5761
-12.8,0.35,-0.881149,0.04623,-0.0517,-8.89228
-12.8,0.45,-1.02674,0.03332,-0.0467,-1.24072
-12.8,0.55,-1.05341,0.03005,-0.0451,-0.161256
-12.8,0.65,-1.08291,0.02703,-0.0429,0.610328
-12.8,0.8,-1.11261,0.02395,-0.0397,1.19146
-12.8,0.92,-1.13341,0.02285,-0.0382,1.74664
-12.8,0.95,-1.13827,0.02245,-0.0376,1.88257
-12.8,1,-1.14625,0.02186,-0.0366,2.13815
-12.8,1.2,-1.17441,0.02002,-0.0328,2.97792
-12.8,1.5,-1.20031,0.01823,-0.0282,3.71823
-12.8,1.75,-1.21338,0.01742,-0.0264,4.25455
-12.8,2,-1.22402,0.01683,-0.025,4.72346
-12.8,2.2,-1.23097,0.01625,-0.0235,5.01297
-12.8,2.5,-1.23915,0.01558,-0.0216,5.32604
-12.6,0.2,-0.567272,0.08755,-0.0355,-11.854
-12.6,0.25,-0.708477,0.07079,-0.0451,-10.881
-12.6,0.35,-0.909889,0.04333,-0.0505,-7.57789
-12.6,0.45,-1.03036,0.03219,-0.0453,-0.820221
-12.6,0.55,-1.05356,0.02908,-0.0436,0.088103
-12.6,0.65,-1.08039,0.0263,-0.0415,0.844753
-12.6,0.8,-1.10807,0.02326,-0.0381,1.42435
-12.6,0.92,-1.12694,0.02232,-0.0368,1.96684
-12.6,0.95,-1.13134,0.02193,-0.0361,2.10043
-12.6,1,-1.13842,0.02136,-0.035,2.35116
-12.6,1.2,-1.16364,0.01961,-0.031,3.1963
-12.6,1.5,-1.18694,0.01787,-0.0268,3.94061
-12.6,1.75,-1.19819,0.017,-0.0247,4.44953
-12.6,2,-1.20722,0.01654,-0.0235,4.89676
-12.6,2.2,-1.21319,0.01598,-0.0219,5.17264
-12.6,2.5,-1.22031,0.01533,-0.0199,5.4685
-12.4,0.2,-0.608018,0.08105,-0.0399,-11.4573
-12.4,0.25,-0.745043,0.06434,-0.0488,-10.0496
-12.4,0.35,-0.934084,0.04085,-0.0487,-6.29026
-12.4,0.45,-1.03242,0.03127,-0.0438,-0.355126
-12.4,0.55,-1.05271,0.02819,-0.0421,0.407498
-12.4,0.65,-1.07694,0.0256,-0.0401,1.13944
-12.4,0.8,-1.10261,0.02267,-0.0365,1.70987
-12.4,0.92,-1.11962,0.02184,-0.0352,2.23191
-12.4,0.95,-1.12356,0.02146,-0.0345,2.36112
-12.4,1,-1.12979,0.0209,-0.0333,2.60219
-12.4,1.2,-1.15208,0.01922,-0.0292,3.43258
-12.4,1.5,-1.1728,0.01752,-0.0253,4.1625
-12.4,1.75,-1.18233,0.01664,-0.0229,4.63653
-12.4,2,-1.18985,0.01619,-0.0216,5.05422
-12.4,2.2,-1.19488,0.01573,-0.0202,5.31168
-12.4,2.5,-1.20101,0.01509,-0.0181,5.58572
-12.2,0.2,-0.647045,0.07489,-0.0441,-10.8757
-12.2,0.25,-0.778517,0.05908,-0.0507,-9.11546
-12.2,0.35,-0.953848,0.03869,-0.0465,-5.04053
-12.2,0.45,-1.0328,0.03046,-0.0423,0.140308
-12.2,0.55,-1.05065,0.02737,-0.0405,0.779691
-12.2,0.65,-1.07238,0.02494,-0.0385,1.47923
-12.2,0.8,-1.09608,0.02215,-0.0348,2.0343
-12.2,0.92,-1.11132,0.02101,-0.0327,2.52984
-12.2,0.95,-1.11482,0.02103,-0.0328,2.65305
-12.2,1,-1.12023,0.02048,-0.0315,2.88074
-12.2,1.2,-1.13967,0.01884,-0.0276,3.68025
-12.2,1.5,-1.15788,0.01721,-0.0236,4.3811
-12.2,1.75,-1.16583,0.01632,-0.0211,4.81477
-12.2,2,-1.17196,0.0158,-0.0194,5.19713
-12.2,2.2,-1.17613,0.01549,-0.0184,5.43262
-12.2,2.5,-1.18134,0.01482,-0.0172,5.68151
-12,0.2,-0.683774,0.06935,-0.0474,-10.1471
-12,0.25,-0.808595,0.05469,-0.0509,-8.1078
-12,0.35,-0.969329,0.0368,-0.044,-3.83791
-12,0.45,-1.03142,0.02972,-0.0406,0.65369
-12,0.55,-1.04722,0.02664,-0.0388,1.18958
-12,0.65,-1.06658,0.02431,-0.0368,1.85087
-12,0.8,-1.08838,0.02169,-0.033,2.38563
-12,0.92,-1.10194,0.0204,-0.0303,2.85014
-12,0.95,-1.10501,0.02027,-0.03,2.96611
-12,1,-1.10966,0.0201,-0.0296,3.17764
-12,1.2,-1.12638,0.01847,-0.026,3.93366
-12,1.5,-1.14222,0.01691,-0.0218,4.59405
-12,1.75,-1.14872,0.01604,-0.0192,4.98364
-12,2,-1.15358,0.01547,-0.0173,5.32663
-12,2.2,-1.15697,0.01519,-0.0169,5.5377
-12,2.5,-1.16136,0.01453,-0.0177,5.75924
-11.8,0.2,-0.717753,0.0645,-0.0494,-9.30482
-11.8,0.25,-0.835065,0.05094,-0.0498,-7.05225
-11.8,0.35,-0.980705,0.03514,-0.0412,-2.68987
-11.8,0.45,-1.02823,0.02901,-0.0387,1.17434
-11.8,0.55,-1.04232,0.02599,-0.037,1.62401
-11.8,0.65,-1.05944,0.02372,-0.035,2.24282
-11.8,0.8,-1.07941,0.02126,-0.031,2.75344
-11.8,0.92,-1.09141,0.01989,-0.0283,3.1837
-11.8,0.95,-1.09409,0.01968,-0.0278,3.29152
-11.8,1,-1.09803,0.01951,-0.0275,3.48494
-11.8,1.2,-1.1122,0.01814,-0.0242,4.18797
-11.8,1.5,-1.12582,0.01662,-0.02,4.79938
-11.8,1.75,-1.13105,0.01577,-0.0172,5.14268
-11.8,2,-1.13478,0.01512,-0.0165,5.4438
-11.8,2.2,-1.13748,0.01473,-0.0173,5.62895
