alpha,Re,Cl,Cd,Cm,Cl_alpha
-13.4,0.4,-1.03858,0.03468,-0.0493,0.0360253
-13.4,0.5,-1.08115,0.03027,-0.0468,0.62227
-13.4,0.6,-1.11282,0.02777,-0.0449,1.14643
-13.4,0.8,-1.1646,0.02404,-0.0409,2.05905
-13.4,1,-1.19827,0.02181,-0.0376,2.57546
-13.4,1.2,-1.22149,0.02056,-0.0354,3.12474
-13.4,1.4,-1.23946,0.01939,-0.033,3.56172
-13.4,1.6,-1.25352,0.01851,-0.0309,3.90012
-13.4,1.8,-1.26468,0.01782,-0.029,4.18606
-13.4,2,-1.27352,0.01726,-0.0276,4.42132
-13.4,2.2,-1.28003,0.01679,-0.0265,4.57431
-13.4,2.4,-1.28514,0.0164,-0.0256,4.72048
-13.2,0.2,-0.746705,0.06684,-0.0464,-8.90175
-13.2,0.4,-1.03862,0.03351,-0.0483,-0.0357652
-13.2,0.5,-1.07903,0.0292,-0.0457,0.608246
-13.2,0.6,-1.10885,0.02692,-0.0437,1.14914
-13.2,0.8,-1.1573,0.02342,-0.0396,2.13542
-13.2,1,-1.18902,0.02126,-0.0362,2.73189
-13.2,1.2,-1.21028,0.02011,-0.034,3.30067
-13.2,1.4,-1.22669,0.01899,-0.0314,3.75215
-13.2,1.6,-1.23955,0.01814,-0.0292,4.10116
-13.2,1.8,-1.2497,0.01747,-0.0275,4.39572
-13.2,2,-1.2577,0.01692,-0.0263,4.63737
-13.2,2.2,-1.26368,0.01646,-0.0252,4.7898
-13.2,2.4,-1.26829,0.01608,-0.0243,4.92621
-13,0.2,-0.776997,0.0602,-0.0498,-8.42799
-13,0.4,-1.03869,0.03241,-0.0473,0.0130991
-13,0.5,-1.07678,0.02827,-0.0445,0.696008
-13,0.6,-1.10469,0.02614,-0.0425,1.24369
-13,0.8,-1.14962,0.02283,-0.0383,2.27216
-13,1,-1.17916,0.02075,-0.0347,2.92066
-13,1.2,-1.19843,0.01965,-0.0323,3.49242
-13,1.4,-1.21326,0.01861,-0.0297,3.94566
-13,1.6,-1.2249,0.01779,-0.0277,4.29532
-13,1.8,-1.23402,0.01713,-0.0262,4.58897
-13,2,-1.24117,0.0166,-0.025,4.82871
-13,2.2,-1.24663,0.01615,-0.0239,4.97695
-13,2.4,-1.25078,0.01578,-0.0229,5.10218
-12.8,0.2,-0.805381,0.05485,-0.0515,-7.8143
-12.8,0.4,-1.03842,0.03138,-0.0461,0.160754
-12.8,0.5,-1.07408,0.02745,-0.0432,0.86637
-12.8,0.6,-1.10008,0.02541,-0.0412,1.41244
-12.8,0.8,-1.14138,0.02228,-0.0369,2.45658
-12.8,1,-1.1686,0.02029,-0.0331,3.13345
-12.8,1.2,-1.18589,0.01915,-0.0303,3.69471
-12.8,1.4,-1.19915,0.01826,-0.0281,4.13927
-12.8,1.6,-1.20958,0.01745,-0.0263,4.48144
-12.8,1.8,-1.21768,0.01681,-0.0248,4.76654
-12.8,2,-1.22402,0.01629,-0.0235,4.99773
-12.8,2.2,-1.22896,0.01586,-0.0224,5.13893
-12.8,2.4,-1.2327,0.0155,-0.0213,5.25204
-12.6,0.2,-0.831425,0.05043,-0.0515,-7.09242
-12.6,0.4,-1.03748,0.0304,-0.0448,0.387735
-12.6,0.5,-1.07066,0.0267,-0.0419,1.10229
-12.6,0.6,-1.09476,0.02474,-0.0398,1.63973
-12.6,0.8,-1.13243,0.02176,-0.0353,2.67749
-12.6,1,-1.15726,0.01987,-0.0313,3.36298
-12.6,1.2,-1.17263,0.01871,-0.0284,3.90294
-12.6,1.4,-1.18436,0.01791,-0.0267,4.33043
-12.6,1.6,-1.19362,0.01713,-0.0249,4.65859
-12.6,1.8,-1.20076,0.01651,-0.0233,4.92914
